"etf_tck_cd","tck_iem_cd","mkt_vlu","fc_sec_eng_nm","fc_sec_krl_nm","stk_qty","wht_pct","sec_tp"
AAPB,AAPL,36858666,AAPL,애플,215737,66.778,ST
AAPB,USD,18337384,US Dollars,프로셰어즈 울트라 반도체,0,33.222,EF
AMDL,USD,3257693,US Dollars,프로셰어즈 울트라 반도체,0,33.282,EF
AMDL,AMD,6530355,AMD,에이엠디,36558,66.718,ST
CLOU,TWLO,15400502,TWILIO INC - A,트윌리오,254933,4.266,ST
CLOU,AKAM,15954631,AKAMAI TECHNOLOGIES INC,아카마이,157173,4.419,ST
CLOU,BOX,16465312,BOX INC - CLASS A,박스,598521,4.561,ST
CLOU,DLR,16796026,DIGITAL REALTY TRUST INC,디지털 리얼티,111884,4.652,ST
CLOU,SPSC,17322291,SPS COMMERCE INC,SPS 커머스,86202,4.798,ST
CLOU,WIX,21319125,WIX.COM LTD,윅스닷컴,131235,5.905,ST
CLOU,-,-14751,OTHER PAYABLE & RECEIVABLES,-,0,0.004,-
CLOU,ZS,15498337,ZSCALER INC,Z스케일러,88887,4.293,ST
CLOU,-,124577,CASH,-,0,0.035,-
CLOU,KC,808047,KINGSOFT CLO-ADR,킹소프트 클라우드,332530,0.224,ST
CLOU,DCREIT.SI,1077638,DIGITAL CORE REI,-,1907325,0.298,-
CLOU,BABA,1329353,ALIBABA GRP-ADR,알리바바,16619,0.368,ST
CLOU,IBM,1346467,IBM,아이비엠,7033,0.373,ST
CLOU,VNET,2461933,VNET Group Inc,브이넷 그룹,1200943,0.682,ST
CLOU,PUBM,2785440,PUBMATIC INC-CLASS A,펍마틱,198111,0.772,ST
CLOU,YEXT,2906231,YEXT INC,이엑스트,600461,0.805,ST
CLOU,VMEO,3605447,VIMEO INC,비미오,755859,0.999,ST
CLOU,FSLY,3696267,FASTLY INC - CLASS A,패스틀리,651899,1.024,ST
CLOU,HSTM,4059697,HEALTHSTREAM INC,헬스스트림,145041,1.125,ST
CLOU,GOOGL,6301131,ALPHABET INC-CL A,알파벳 A주,38499,1.745,ST
CLOU,AMZN,7092946,AMAZON.COM INC,아마존,42488,1.965,ST
CLOU,MSFT,8027015,MICROSOFT CORP,마이크로소프트,19770,2.223,ST
CLOU,FIVN,8631549,FIVE9 INC,파이브나인,276475,2.391,ST
CLOU,SINCH.ST,10164712,SINCH AB,-,4025851,2.816,-
CLOU,FRSH,11809293,FRESHWORKS INC-CL A,프레시웍스,1049715,3.271,ST
CLOU,QLYS,11888799,QUALYS INC,퀄리스,94408,3.293,ST
CLOU,PCOR,12073542,PROCORE TECHNOLOGIES INC,프로코어 테크놀로지스,226563,3.344,ST
CLOU,SNOW,12373072,SNOWFLAKE INC-CLASS A,스노우플레이크,99454,3.427,ST
CLOU,WDAY,13245603,WORKDAY INC-CLASS A,워크데이,62494,3.669,ST
CLOU,ZM,14075943,ZOOM VIDEO COM-A,줌,249662,3.899,ST
CLOU,DOCN,14134370,DIGITALOCEAN HOLDINGS INC,디지탈오션 홀딩스,433969,3.915,ST
CLOU,AI,14136445,C3.AI INC-A,시쓰리 에이아이,566591,3.916,ST
CLOU,CRM,14568455,SALESFORCE INC,세일즈포스,57690,4.035,ST
CLOU,WK,14621042,WORKIVA INC,워키바,195940,4.05,ST
CLOU,PAYC,14879624,PAYCOM SOFTWARE INC,페이콤,94151,4.122,ST
CLOU,DBX,14921276,DROPBOX INC-CLASS A,드롭박스,664941,4.133,ST
CLOU,SHOP,15101509,SHOPIFY INC - CLASS A,쇼피파이,217915,4.183,ST
DFEN,MOG/A,1214805,MOOG INC-CLASS A,-,6643,0.212,-
DFEN,HXL,1187848,HEXCEL CORP,헥셀,19196,0.207,ST
DFEN,AVAV,1139208,AEROVIRONMENT INC,에어로버로먼트,6457,0.199,ST
DFEN,SPR,908987,SPIRIT AEROSYSTEMS HOLD-CL A,스피릿 에어로시스템,26917,0.159,ST
DFEN,KTOS,684594,KRATOS DEFENSE & SECURITY,크라토스 디펜스 & 시큐리티 솔,34663,0.119,ST
DFEN,AIR,460365,AAR CORP,에에에이알,7646,0.08,ST
DFEN,DRS,451848,LEONARDO DRS INC,레오나르도 DRS,16407,0.079,ST
DFEN,MRCY,418068,MERCURY SYSTEMS INC,머큐리 시스템즈,12062,0.073,ST
