"etf_tck_cd","ediv_dt","ddn_amt","aed_stkp_ddn_amt","ddn_bse_dt","ddn_pym_dt","pba_dt","ddn_pym_fcy_cd"
AAON,"20230608",0.12,0.08,"20230609","20230630","20230518",Quarterly
AAON,"20240315",0.08,0.08,"20240318","20240329","20240301",Quarterly
AAON,"20230907",0.08,0.08,"20230908","20230929","20230818",Quarterly
AAON,"20230310",0.12,0.08,"20230313","20230331","20230301",Quarterly
AAON,"20221125",0.24,0.16,"20221128","20221216","20221108",SemiAnnual
AAON,"20231128",0.08,0.08,"20231129","20231218","20231110",Quarterly
AAON,"20240607",0.08,0.08,"20240607","20240628","20240524",Quarterly
AAP,"20221215",1.5,1.5,"20221216","20230103","20221107",Quarterly
AAP,"20240712",0.25,0.25,"20240712","20240726","20240521",Quarterly
AAP,"20240411",0.25,0.25,"20240412","20240426","20240213",Quarterly
AAP,"20230413",1.5,1.5,"20230414","20230428","20230221",Quarterly
AAP,"20231012",0.25,0.25,"20231013","20231027","20230807",Quarterly
AAP,"20230713",0.25,0.25,"20230714","20230728","20230530",Quarterly
AAP,"20220915",1.5,1.5,"20220916","20220930","20220816",Quarterly
AAP,"20240111",0.25,0.25,"20240112","20240126","20231031",Quarterly
AAPB,"20231227",4.30641,4.30641,"20231228","20231229","20231226",Monthly
AAPL,"20240812",0.25,0.25,"20240812","20240815","20240801",Quarterly
AAPL,"20240209",0.24,0.24,"20240212","20240215","20240201",Quarterly
AAPL,"20231110",0.24,0.24,"20231113","20231116","20231102",Quarterly
AAPL,"20221104",0.23,0.23,"20221107","20221110","20221027",Quarterly
AAPL,"20240510",0.25,0.25,"20240513","20240516","20240502",Quarterly
AAPL,"20230210",0.23,0.23,"20230213","20230216","20230202",Quarterly
AAPL,"20230512",0.24,0.24,"20230515","20230518","20230504",Quarterly
AAPL,"20230811",0.24,0.24,"20230814","20230817","20230803",Quarterly
AAPU,"20220920",0.01041,0.01041,"20220921","20220927","20220919",Quarterly
AAPU,"20230919",0.14642,0.14642,"20230920","20230926","20230918",Quarterly
AAPU,"20231221",0.27249,0.27249,"20231222","20231229","20231220",Quarterly
AAPU,"20230321",0.07802,0.07802,"20230322","20230328","20230320",Quarterly
AAPU,"20240625",0.19784,0.19784,"20240625","20240702","20240624",Quarterly
AAPU,"20240319",0.08415,0.08415,"20240320","20240326","20240318",Quarterly
AAPU,"20221220",0.12086,0.12086,"20221221","20221228","20221219",Quarterly
AAPU,"20230621",0.14031,0.14031,"20230622","20230628","20230620",Quarterly
AAT,"20240606",0.335,0.335,"20240606","20240620","20240430",Quarterly
AAT,"20230607",0.33,0.33,"20230608","20230622","20230425",Quarterly
AAT,"20240306",0.335,0.335,"20240307","20240321","20240206",Quarterly
AAT,"20221207",0.32,0.32,"20221208","20221222","20221025",Quarterly
AAT,"20231206",0.33,0.33,"20231207","20231221","20231024",Quarterly
AAT,"20230906",0.33,0.33,"20230907","20230921","20230725",Quarterly
AAT,"20230308",0.33,0.33,"20230309","20230323","20230207",Quarterly
AAT,"20220907",0.32,0.32,"20220908","20220922","20220726",Quarterly
ABBV,"20221013",1.41,1.41,"20221014","20221115","20220909",Quarterly
ABBV,"20240412",1.55,1.55,"20240415","20240515","20240215",Quarterly
