"bse_dt","tck_iem_cd","ifw_ofw_dit_cd","ifw_ofw_tck_cd","ifw_ofw_amt_wht_rt","ifw_ofw_rnk"
"20240617",AAL         ,"02",ULTY        ,1.98,4
"20240802",AAL         ,"02",KAVL        ,86.08,1
"20240802",AAL         ,"02",SHY         ,13.92,2
"20240725",AAL         ,"02",TQQQ        ,93.84,1
"20240610",AAL         ,"02",ILMN        ,100.00,1
"20240719",AAL         ,"02",SOXL        ,100.00,1
"20240708",AAL         ,"02",ZM          ,11.54,3
"20240614",AAL         ,"02",NVDA        ,77.18,1
"20240614",AAL         ,"02",SMLR        ,22.82,2
"20240708",AAL         ,"02",UPST        ,13.79,2
"20240708",AAL         ,"02",SHOP        ,44.67,1
"20240708",AAL         ,"02",ROKU        ,8.20,5
"20240612",AAL         ,"02",MULN        ,78.10,1
"20240612",AAL         ,"02",NVDL        ,21.90,2
"20240717",AAL         ,"02",TSM         ,54.82,1
"20240717",AAL         ,"02",TSLA        ,38.82,2
"20240717",AAL         ,"02",NRGU        ,3.94,3
"20240717",AAL         ,"02",WTIU        ,1.52,4
"20240717",AAL         ,"02",VET         ,0.90,5
"20240725",AAL         ,"02",MARA        ,3.82,2
"20240708",AAL         ,"02",LIT         ,10.59,4
"20240725",AAL         ,"02",TSLA        ,2.35,3
"20240628",AAL         ,"02",RIOT        ,0.99,3
"20240628",AAL         ,"02",AMZN        ,46.98,2
"20240628",AAL         ,"02",TLT         ,52.03,1
"20240626",AAL         ,"02",NVDA        ,1.91,4
"20240626",AAL         ,"02",TLT         ,11.43,3
"20240607",AAL         ,"02",GWAV        ,100.00,1
"20240626",AAL         ,"02",TLTW        ,11.92,2
"20240805",AAL         ,"02",DXD         ,17.17,4
"20240805",AAL         ,"02",TQQQ        ,21.48,3
"20240805",AAL         ,"02",OXY         ,23.72,2
"20240805",AAL         ,"02",LMT         ,37.63,1
"20240626",AAL         ,"02",SOXL        ,74.75,1
"20240617",AAL         ,"02",AGQ         ,83.58,1
"20240617",AAL         ,"02",NVO         ,10.29,2
"20240617",AAL         ,"02",GME         ,4.15,3
"20240604",AAL         ,"02",TQQQ        ,55.46,1
"20240604",AAL         ,"02",CRM         ,34.64,2
"20240711",AAL         ,"02",SNGX        ,28.55,2
"20240711",AAL         ,"02",NKE         ,71.45,1
"20240807",AAL         ,"02",TTWO        ,68.49,1
"20240807",AAL         ,"02",INTC        ,31.51,2
"20240703",AAL         ,"02",NXT         ,100.00,1
"20240715",AAL         ,"02",ARVN        ,100.00,1
"20240604",AAL         ,"02",EH          ,9.91,3
"20240712",AAL         ,"02",COIN        ,100.00,1
"20240709",AAL         ,"02",DPST        ,87.29,1
"20240718",AAL         ,"02",SOXS        ,6.70,4
"20240618",AAL         ,"02",ALTO        ,31.22,2
"20240718",AAL         ,"02",SOXL        ,15.19,3
"20240718",AAL         ,"02",NVDA        ,34.76,2
"20240718",AAL         ,"02",LXEO        ,43.35,1
"20240619",AAL         ,"02",TSLA        ,100.00,1
"20240603",AAL         ,"02",SLV         ,56.27,1
"20240603",AAL         ,"02",DELL        ,31.12,2
"20240603",AAL         ,"02",NEE         ,8.11,3
"20240603",AAL         ,"02",ADBE        ,4.51,4
"20240613",AAL         ,"02",SRTY        ,100.00,1
"20240618",AAL         ,"02",SOFI        ,68.78,1
"20240827",AAL         ,"02",HELE        ,100.00,1
"20240709",AAL         ,"02",INTC        ,12.71,2
"20240730",AAL         ,"02",HAL         ,100.00,1
"20240529",AAL         ,"02",PBR         ,1.91,3
"20240529",AAL         ,"02",WDS         ,14.64,2
"20240529",AAL         ,"02",SOXL        ,83.45,1
"20240712",AAL         ,"01",SPCE        ,0.43,3
"20240712",AAL         ,"01",QURE        ,7.05,2
"20240712",AAL         ,"01",PII         ,92.23,1
"20240711",AAL         ,"01",INTC        ,100.00,1
"20240604",AAL         ,"01",WMT         ,100.00,1
"20240731",AAL         ,"01",SBUX        ,100.00,1
"20240807",AAL         ,"01",GME         ,100.00,1
"20240529",AAL         ,"01",AAPL        ,100.00,1
"20240613",AAL         ,"01",TSLA        ,100.00,1
"20240618",AAL         ,"01",MA          ,33.88,1
"20240821",AAL         ,"01",SOXL        ,1.24,2
"20240618",AAL         ,"01",PEP         ,31.21,2
"20240618",AAL         ,"01",JPM         ,22.15,3
"20240618",AAL         ,"01",INTC        ,12.76,4
"20240709",AAL         ,"01",IONQ        ,19.55,2
"20240605",AAL         ,"01",GME         ,33.82,1
"20240605",AAL         ,"01",AMD         ,17.96,2
"20240605",AAL         ,"01",SOXL        ,16.01,3
"20240625",AAL         ,"01",OXY         ,100.00,1
"20240603",AAL         ,"01",O           ,100.00,1
"20240605",AAL         ,"01",SLG         ,11.65,4
"20240718",AAL         ,"01",PLUG        ,100.00,1
"20240821",AAL         ,"01",MARA        ,98.76,1
"20240605",AAL         ,"01",GWAV        ,7.50,5
"20240712",AAL         ,"01",CERO        ,0.29,4
"20240709",AAL         ,"01",LLY         ,80.45,1
"20240701",AAL         ,"01",CCL         ,2.69,4
